restaurant name,category,rating,cost for two,area,locality,address,veg,long distance delivery,city
the brewed leaf,"chinese,lebanese",3.8,500,dharampeth,dharampeth,"vimal bhaskar apartments, lit rd, gokulpeth, nagpur, maharashtra 440010, india",False,0,nagpur
logg sabha tea and cafe,"beverages,street food,snacks",3.8,200,nandanvan,nandanvan,"plot no 446, house no 1021, anand  nagar, nagpur, zone no.3 - neharunagar, nagpur (urban), nagpur,  maharashtra - 440024",False,0,nagpur
spicy fast food,"tandoor,biryani,north indian,chinese,indian,street food",3.9,200,ravi nagar,bharat nagar,shop no1  bharat nagar amravati road nagpur,False,0,nagpur
pankaj chat center,"street food,indian,chaat",4.3,100,dharampeth,dharampeth,"abhyankar nagar road abhyankar nagar nagpur nagpur urban nagpur maharashtra, 440010",True,0,nagpur
grey hills restaurant,"north indian,chinese,biryani",3.8,400,ramdaspeth,bajaj nagar,"plot 43, universal tower, central bazaar road, bajaj nagar, nagpur",False,0,nagpur
drazic pizza,"indian,snacks,italian,tandoor,continental,pizzas,chinese",3.8,250,nandanvan ,sadar,"lalganj chakna chowk, near naik talav, behind girmaji saoji bhojnalaya, bangladesh, nagpur, nagpur urban, maharashtra - 440002",False,0,nagpur
domeniwz's,"pizzas,beverages",3.8,250,nandanvan ,sadar,"lalganj chakna chowk, near naik talav, behind girmaji saoji bhojnalaya, bangladesh, nagpur, nagpur urban, maharashtra - 440002",False,0,nagpur
desi grill,"north indian,biryani,chinese,mughlai,desserts,beverages",3.7,250,c a road,nandanvan,"493-494, nehru nagar, nandanvan main road, nandanvan, nagpur",False,0,nagpur
4 amigos cafe,"fast food,pizzas,beverages,chinese",3.8,400,bajaj nagar,bajaj nagar,"plot no. 218, south ambazari road,  near vijaya bank, bajaj nagar,  nagpur, zone no.5-hanumannagar,  nagpur urban, nagpur-1, maharashtra -  440010",False,0,nagpur
hungry puttar,"north indian,biryani,desserts,tandoor,fast food,indian",3.8,200,dharampeth,dharampeth,"103,first floor, plot no.8, abhinav sankul, bajaj nagar, nagpur",False,0,nagpur
shri ratlam namkin,"north indian,fast food,chinese",4.1,250,c a road,ayodhya nagar,tiranga chowk near sangam talkies  nandanvan  nagpur,True,0,nagpur
yari dosti pizza cafe,"pizzas,fast food,snacks",3.8,150,nandanvan,nandanvan,shop no 3-446 anand nagar tiranga square zone no 5 hanumannagar nagpur urban nagpur 1 maharashtra 440009,True,0,nagpur
burgershah's,"fast food,snacks,beverages",3.8,150,nandanvan ,sadar,"lalganj chakna chowk, near naik talav, behind girmaji saoji bhojnalaya, bangladesh, nagpur, nagpur urban, maharashtra - 440002",False,0,nagpur
divyani mahila bachat gat,indian,3.8,300,gandhibagh,gandhibagh,"kamgar nagar, naik talav, bang ladesh, nagpur, zone no.6-gandhibag, nagpur urban, nagpur-1, maharashtra - 440002",False,0,nagpur
jumpin spice,"italian-american,fast food,snacks,beverages",3.8,250,nandanvan,nandanvan,"c/o. suresh bisanji khanorkar, plot no.  446, house no. 1021, shop no. 01, anand  nagar, sangam talkies square, nagpur ,  zone no.5-hanumannagar, nagpur urban,  nagpur-1, maharashtra - 440024",False,0,nagpur
ajanta restaurant,"north indian,snacks,kebabs",3.8,600,nandanvan,nandanvan,"176/8, central ave, chapru nagar, bagadganj, nagpur, maharashtra 440008, india",False,0,nagpur
pahunchar the family restaurant,"north indian,chinese,biryani,mughlai",4.2,300,nandanvan,nandanvan,"40024, guru dev nagar, bapu nagar, nandanvan, nagpur",False,0,nagpur
shri sai south indies tiffin house,south indian,3.8,100,nandanvan,nandanvan,"shop no 1, maa uma co. op housing society, lakadganj, nagpur, nagpur.-440008",True,0,nagpur
small town cafe,pizzas,3.8,200,tiranga,tiranga square,"h no. 136/c/11, shop no 9, ram appartment, tiranga",False,0,nagpur
the blend story,"beverages,pizzas,indian,snacks",3.8,250,nandanvan ,sadar,"lalganj chakna chowk, near naik talav, behind girmaji saoji bhojnalaya, bangladesh, nagpur, nagpur urban, maharashtra - 440002",False,0,nagpur
creamland thickshakes,"beverages,pizzas",1.6,200,dharampeth,dharampeth,"c/o. waman u papadkar, 189 ram nagar, ploe no. 506 c, nagpur, zone no.2 -dharampeth, nagpur urban,nagpur-1, maharashtra - 440010",False,0,nagpur
the cake way,bakery,3.8,350,nandanvan,nandanvan,tiranga chowk opposite mamta car baazar azamshah layout nagpur zone no 3 neharunagar nagpur urban nagpur 1 maharashtra,True,0,nagpur
swingo cafe & restaurant,"north indian,chinese",3.8,400,sadar,sadar,shop no 43/44 ginger mall upper ground floor zone no 10 mangalwari nagpur urban nagpur 1 maharashtra,False,0,nagpur
thapa kitchen,"pizzas,fast food,chinese",3.8,200,ayodhya nagar,ayodhya nagar,"quarter no.94/1 somwari quater nagpur , zone no.5-hanumannagar, nagpur (urban), nagpur, maharashtra- 440009",False,0,nagpur
yummy roasters,"lebanese,arabian",3.8,200,nandanvan,nandanvan,"tiranga square,  sakkardara,nagpur, nagpur urban,  nagpur-1, , maharashtra, 440024",False,0,nagpur
bagelo escobar,"mexican,pizzas",3.8,200,bajaj nagar,dharampeth,"plot no.44 vnit road , bajaj nagar nagpur -440010",False,0,nagpur
el aroma cafe,pizzas,3.8,250,nandanvan,sadar,"lalganj chakna chowk, near naik talav, behind girmaji saoji bhojnalaya, bangladesh, nagpur, nagpur urban, maharashtra - 440002",False,0,nagpur
vfc (vidarbha fried chicken),indian,3.8,250,mahal,nandanvan,"388,old bagadganj,near n.i.t hall,nagpur, district - nagpur-1, state - maharashtra-440008",False,0,nagpur
sandwich centre,"pizzas,beverages",4.2,400,ayodhya nagar,ayodhya nagar,"plot 96, dattatray nagar, near sarveshwar mandir, behind sakkardara telephone exchange, ayodhya nagar, nagpur",True,0,nagpur
new rps fast food,fast food,4.0,200,chatrapati nagar,chatrapati nagar,"near chhatrapati hall, ring road, chatrapati nagar nagpur 440015",False,0,nagpur
pronutrizone,"healthy food,salads,snacks,keto,beverages",4.1,250,abhyankar nagar,wardha road,"shop no. 1, wasudeo sahniwas, plot no. 4, abhankar nagar, adjacent abhankar nagar, nagpur, zone no.5-hanumannagar, nagpur urban, nagpur-1, maharashtra, 440010",True,0,nagpur
cake n bake,"bakery,desserts",3.8,2,nandanvan,nandanvan,"kdk college rd, nandanvan nagpur - 440009",True,0,nagpur
chinese junction,"chinese,snacks",3.8,200,ayodhya nagar,ayodhya nagar,"4/63, raghuji nagar, nagpur, maharashtra 440024, india",False,0,nagpur
durga mishthan bhandar,desserts,3.8,400,ayodhya nagar,ayodhya nagar,"sharda chowk, near smruti hall, ayodhya nagar, nagpur",True,0,nagpur
chill house cafe,"fast food,snacks,beverages",3.8,300,ayodhya nagar,ayodhya nagar,shop no 04 vaishnavi appartmanrt aurvedic layout nagpur zone no 5 hanumannagar nagpur urban nagpur maharashtra,True,0,nagpur
chatar patar street,"chinese,pizzas,snacks",3.8,200,nandanvan,nandanvan,"kirti complex no.7 , 131 nandanwan layout , nagpur -440009,maharashtra , india zone no.3 - neharunagar , nagpur urban , nagpur -1 maharashtra - 440009",True,0,nagpur
indian roti,"north indian,fast food,chinese",4.5,250,indora chowk,nit garden,"plot no. 1003, near buddha park, buddha nagar, nagpur",True,0,nagpur
sandwich factory,"fast food,snacks,pizzas,beverages,street food,italian",3.8,200,gokulpeth,bajaj nagar,ho no 1367/85 ujwal co op society bajiprabhu nagar nagpur 440010,False,0,nagpur
mj's soya chaap corner,"indian,snacks",3.9,260,wardhaman nagar,wardhaman nagar,"shop no. 3, wing no. 3, ambedkar chowk, ca road, nagpur, nagpur (urban), nagpur, maharashtra-440008",True,0,nagpur
chicago pizza lounge,pizzas,5.0,350,bajaj nagar,bajaj nagar,"admaark junxion, ground floor, plot no. 275, whc road, laxmi nagar, nagpur (urban), nagpur, maharashtra-440022",False,0,nagpur
badshah biryani,"biryani,indian,north indian,mughlai",3.8,200,gokulpeth,dharampeth,"h. no, 1367/85 ujjwal co-op housing society baji prabhu nagar ram nagar , nagpur, 440010",False,0,nagpur
7 days pure veg restaurant,"north indian,south indian,chinese,street food,beverages",3.7,300,janta chowk,jaripatka,"near dayanand park, jaripatka, nagpur",False,0,nagpur
annapurna sweets & namkeen,"sweets,street food,bakery",4.2,300,nandanvan,ca road,"ambedkar chawk, ca road",False,0,nagpur
hungry dragon,"chinese,beverages",3.8,200,bajaj nagar,bajaj nagar,"nescafe house of caffeine, j-12, besides  face and figure gym, whc road, laxmi  nagar, nagpur, nagpur urban, nagpur-1,  maharashtra-440022",False,0,nagpur
bhavya pan shop,snacks,3.8,400,gittikhadan,sadar,"akar builder, opposite nadt gate, pagal khana square, nagpur",True,0,nagpur
vinayak saoji bhojnalay,"north indian,indian,thalis",3.8,500,sadar,sadar,1447/a/114a bangladesh naik talav police station mata mandir nagpur,False,0,nagpur
joy cafe,"cafe,beverages,fast food,snacks",3.8,300,nandanvan,nandanvan,"shop no.3 jeevandeep co op. hos.soc. lakadganj nagpur 440008, zone no.8- lakadganj , nagpur (urban), nagpur, maharashtra - 440008",False,0,nagpur
amrut,"indian,south indian,chinese",4.2,300,jaripatka,sadar,shop no 468 manin bazar road next to shankar anaj bhandar jaripatka nagpur 440014,False,0,nagpur
shakes me,beverages,3.8,150,bajaj nagar,bajaj nagar,"nescafe house of caffeine, j-12, besides  face and figure gym, whc road, laxmi  nagar, nagpur, nagpur urban, nagpur-1,  maharashtra-440022",False,0,nagpur
villa 167,"beverages,chinese,desserts,indian,italian",3.9,200,bajaj nagar,dharampeth,"plot no 167 behind tanjore abhyankar nagar nagpur , district - nagpur-1, maharashtra-440010",False,0,nagpur
shruti food express,"fast food,pizzas,burgers,beverages,chaat,street food",4.2,300,pratap nagar,pratap nagar,"in front of shruti veg, surendranagar road, west high court road, surendra nagar, vivekanand nagar, nagpur",True,0,nagpur
maher maa ki rasoi,north indian,4.4,200,rameshwari,ayodhya nagar,"krushna kamal apartments, chota tajbaug square, ayodhya nagar, nagpur",True,0,nagpur
grillify,"beverages,biryani,snacks,north indian,chinese",3.5,200,laxminagar,"besides burger singh, shraddhanandpeth","f c 02, 3 road floor, vr mall, medical  square, nagpur, zone no.5- hanumannagar, nagpur urban, nagpur-1,  maharashtra-440012",False,0,nagpur
top n town,"ice cream,desserts",4.4,100,sadar,jaripatka,"130, kamal phool chowk, jaripatka, nagpur",False,0,nagpur
best bakers,"beverages,chinese,italian,pizzas",3.8,200,ayodhya nagar,ayodhya nagar,"plot no. 115 shop no. 4 jawahar nagar, district - nagpur-1, state - maharashtra",True,0,nagpur
chai sutta cafe,beverages,3.8,300,nandanvan,nandanvan,"183 opp kirti apartment no 1 nandanwan main road nagpur, nagpur urban, nagpur-1 (maharashtra), - 440009",True,0,nagpur
i love momo,"snacks,tibetan,chinese,street food",4.0,200,pratap nagar,opp. prasadham restaurant,"plot no.10, gittikhadan layout, kotwal nagar, pratap nagar, nagpur",False,0,nagpur
two joes,"indian,oriental,mexican,tandoor,italian,arabian",4.2,600,bajaj nagar,bajaj nagar,"81, abhyankar nagar, nagpur, maharashtra 440010, india",False,0,nagpur
craving kitchen,"fast food,snacks",3.8,200,laxminagar,"shraddhanand peth square
",plot no 1 ambazari road shardhanandpeth nagpur,False,0,nagpur
cake bake rameshwari,"desserts,bakery",3.8,300,ayodhya nagar,ayodhya nagar,"plot no-06,near pravin medical medical store , dr babasahab ambedkar putala rameshwari nagar, nagar urban , nagpur -1 (maharashtra ),- 440027",True,0,nagpur
cake onn place,bakery,3.8,500,ayodhya nagar,ayodhya nagar,1861/2 ganguli layout cosmo society beltarodi road nagpur zone no 3 neharunagar nagpur urban nagpur maharashtra,True,0,nagpur
delhi-6,"fast food,chinese,snacks,beverages",3.8,200,nandanvan,nandanvan,"plot no 227, kirti co- operative housing society , nandanvan , nagpur , zone no.5-hanumannagar , nagpur (urban) , nagpur , maharashtra-440009",False,0,nagpur
chatar patar box,"chinese,american",3.8,200,nandanvan,nandanvan,"kirti complex no.7 , 131 nandanwan layout , nagpur -440009,maharashtra , india zone no.3 - neharunagar , nagpur urban , nagpur -1 maharashtra - 440009",True,0,nagpur
boards and brews cafe,"italian,north indian,continental",3.8,200,dharampeth,dharampeth,"ruchira villa ,amaravati road bharat nagar, nagpur (urban), nagpur, maharashtra-440033",False,0,nagpur
kasturi mastani house,beverages,3.8,200,nandanvan,nandanvan,plot no 225 shop no 03 laxmi complex nandanvan zone no 3 neharunagar nagpur urban nagpur 1 maharashtra,True,0,nagpur
haddiwale.com,indian,3.8,200,dharampeth,dharampeth,pratik shrivastava s/o of rajendra shrivastava  plot no 216 1st floor gandhi nagar near skating ground lokmanya convent school nagpur,False,0,nagpur
thambii by juhi's kitchen,"south indian,beverages,desserts",4.0,150,bajaj nagar,"madhav nagar, thambii by juhi's kitchen","plot no. 2/a/2, kala kunj, near jp chamber, dongre layout, madhav nagar, nagpur",True,0,nagpur
khichdi king,"indian,healthy food",4.4,200,dharampeth,dharampeth,"553/e/3, laxminagar, nagpur, maharashtra 440020, india",True,0,nagpur
food southee,indian,3.1,200,laxminagar,laxmi nagar,"e/553,near korona house laxminagar besides jain mandir nagpur 440022",False,0,nagpur
melting world,"fast food,chinese,pizzas,snacks",4.0,300,ayodhya nagar,ayodhya nagar,"mt. mandankini bhaskarrao jivankar, khankhoje nagar, manewada road, nagpur, zone no.5- hanumannagar, nagpur urban, nagpur-1, maharashtra - 440027",False,0,nagpur
singh's and ching's,"north indian,indian,thalis,combo,tandoor,kebabs,chinese,fast food,snacks,beverages",3.7,200,gokulpeth,dharampeth,"house no 1367/85 ujjwal co operative housing society, baji prabhu nagar, ram nagar, nagpur 440010, district - nagpur-1, state - maharashtra",False,0,nagpur
juhi's kitchen,"north indian,tandoor,biryani,chinese",3.9,400,bajaj nagar,"madhav nagar, juhi's kitchen","2/a, kalakunj, madhav nagar, 2/a, kalakunj, madhav nagar, south ambazari road,nagpur, nagpur",False,0,nagpur
euphoria restaurant,"north indian,chinese,indian",3.8,250,nandanvan,nandanvan,"plot 1, shop 4, keshav inclave, gurudev nagar, nandanvan, nagpur",True,0,nagpur
temptation cafe,"beverages,italian-american,fast food,snacks,waffle,ice cream",3.8,250,nandanvan,nandanvan,"491, neharu nagar corner, nagpur, zone no.3- nehrunagar, nagpur urban, nagpur-1, maharashtra- 440009",False,0,nagpur
wraps n rolls,"chinese,indian,fast food,snacks,street food,beverages",3.9,200,gokulpeth,dharampeth,"h. no,1367/85  ujjwal  co-op  housing  society  baji  prabhu  nagar  ram  nagar  ,nagpur, - 440010",False,0,nagpur
yakhani biryani,biryani,4.0,200,bajaj nagar,bajaj nagar,"shri ganesh vighnaharta apartments, 107, s ambazari rd, opp.domino's, mate square, laxminagar, nagpur, maharashtra 440010, india",False,0,nagpur
cad m cad b,beverages,3.8,200,dharampeth,dharampeth,"futala lake beside of zero digree bear shop, zone no.2 - dharampeth, nagpur urban, nagpur-1, maharashtra - 440033",False,0,nagpur
house of caffeine,"beverages,fast food,chinese,italian,american,snacks",3.8,150,"whc road, laxmi nagar",bajaj nagar,"nescafe house of caffeine, j-12, besides face and figure gym, whc road, laxmi nagar, nagpur, nagpur urban, nagpur-1, maharashtra-440022",False,0,nagpur
maa ki rasoi,"indian,desserts",3.7,300,dharampeth,dharampeth,"160, abhyankar  nagar, near volley ball ground, nagpur - 440010",True,0,nagpur
nosh a relation of sandwich's,"beverages,fast food,ice cream,snacks",3.8,299,jaripatka,jaripatka,"160 opp ahuja niwas main road jaripatka nagpur nagpur 440014, zone no.6-gandhibag, nagpur (urban), nagpur, maharashtra, 440014",True,0,nagpur
arts foods,"chinese,snacks,beverages",3.8,250,bajaj nagar,bajaj nagar,"nescafe house of caffeine, j-12, besides  face and figure gym, whc road, laxmi  nagar, nagpur, nagpur urban, nagpur-1,  maharashtra-440022",False,0,nagpur
the square one cafe,"american,beverages,desserts,snacks",3.8,150,bajaj nagar,bajaj nagar,"shop no .-g-1, plot no. 5, ward no .75, pooja arcade apartment , abhyankar nagar.440010",False,0,nagpur
kadak amrut chaha`,"beverages,chinese,fast food",3.8,200,nandanvan,nandanvan,"hop no.8 plot no.6 chhota tajbagh,raghuji nagar , nagpur , nagpur urban, nagpur-1 (maharashtra),-440024",False,0,nagpur
kac momos cafe,"chinese,beverages,pizzas,snacks,fast food",3.8,200,nandanvan,nandanvan,"hop no.8 plot no.6 chhota tajbagh,raghuji nagar , nagpur , nagpur urban, nagpur-1 (maharashtra),-440024",False,0,nagpur
chai shai bar,"beverages,italian,fast food",3.8,200,bajaj nagar,bajaj nagar,"plot no-286, vanita apartment, w h c  road, laxmi nagar, zone no.1 - laxminagar, nagpur (urban), nagpur,  maharashtra - 440010",False,0,nagpur
shraddha's dine,"indian,north indian",3.8,200,laxminagar,dharampeth,"plot  no  251/a/1,  saraswati  vinayak  apartment,  whc  road  laxminagar nagpur - 440010",False,0,nagpur
better bites,fast food,3.8,250,ayodhya nagar,ayodhya nagar,plot no 50 khankhoje nagar manewada road nagpur zone no 5 hanumannagar nagpur urban  nagpur 1 maharashtra 440024,True,0,nagpur
gayatri restaurant,"indian,fast food",3.8,150,wardha road,wardha road,"plot no.53 k, wardha road, near sai mandir, vikas nagar, nagpur-440015",False,0,nagpur
7 ml coffee,beverages,3.8,300,dharampeth,dharampeth,s d j shop no g 6 plot no 8 jaishree complex north ambazari road daga layout nagpur zone no 2 dharampeth nagpur urban nagpur 1 maharashtra 440010,True,0,nagpur
drunken monkey,"healthy food,beverages,juices,desserts",4.1,300,laxminagar,bajaj nagar,ufg 04 shree ganeshvignaharta apartment mate chowk nagpur 440010,False,0,nagpur
baskin robbins,"desserts,ice cream",4.5,250,laxminagar,bajaj nagar,"baskin-robbins near 8 rasta chowk, laxminagar, nagpur, maharashtra, india",True,0,nagpur
cake n place,bakery,3.8,300,bajaj nagar,bajaj nagar,"plot no. 252, abyankar nagar, nagpur 440010",False,0,nagpur
bula's kitchen,"north indian,chinese,mughlai,bengali,tandoor,indian,fast food,snacks,biryani,seafood",4.1,350,khamla,khamla square,"khamla square, near arun automobiles, pratap nagar, nagpur",False,0,nagpur
flavours,"indian,chinese,north indian,mughlai,beverages,desserts,south indian,ice cream",4.1,400,vivekanand nagar,vivekanand nagar,"ring road, central excise colony, chhatrapati square, vivekanand nagar, nagpur",False,0,nagpur
unltd pizzaz,"pizzas,continental,snacks,combo",3.8,350,north ambazari road,nit complex north ambazari road,"unltd pizzaz, shop no 4, nit sankul, opp nit swimming pool, north ambazari road, nagpur. 440033",False,0,nagpur
anaya bakery,"bakery,fast food,chinese,pizzas,south indian",4.0,200,teka naka,jaripatka,"plot 17, teka naka, kamatee road, jaripatka, nagpur",False,0,nagpur
froozo cafe,"cafe,fast food,italian,waffle,snacks",3.8,399,nandanvan,nandanvan,"491, first floor, nehru nagar corner,  nandanvan main road near himalaya bar,  nagpur 440009, zone no.10-mangalwari,  nagpur (urban), nagpur, maharashtra -  440009",True,0,nagpur
the paratha shopee - jaripatka,north indian,4.0,300,jaripatka,jaripatka,plot no 19 indira gandhi colony jaripatka nagpur,False,0,nagpur
family foods,"maharashtrian,indian,sweets",3.8,300,vivekanand nagar,"w high court road, surendra nagar","plot number 37, devashish apartment, w high court road, surendra nagar, vivekanand nagar, nagpur",True,0,nagpur
delhi wale dahi bhalle & chat,chaat,3.8,100,manish nagar,manish nagar,khankhoje nagar cement road manewada zone no 5 hanumannagar nagpur urban nagpur 1 maharashtra,True,0,nagpur
mad about momos,"north indian,chinese",3.8,399,dharampeth,dharampeth,"plot no 091 bajiprabhu nagar ram  nagar , zone no.2 -dharampeth, nagpur  urban, nagpur-1, maharashtra - 440010",False,0,nagpur
hungry momos,chinese,3.8,399,dharampeth,dharampeth,"plot no 091 bajiprabhu nagar ram  nagar , zone no.2 -dharampeth, nagpur  urban, nagpur-1, maharashtra - 440010",False,0,nagpur
the chai bike,"beverages,pizzas,snacks",3.8,250,nandanvan,nandanvan,"near bhoud vihar old  bhagadganj, nagpur (urban),  nagpur, , maharashtra, 440008",True,0,nagpur
momos word and little cafe,chinese,3.8,249,dharampeth,dharampeth,25 near nelco society gajanan nagpur urban nagpur 1 maharashtra 440022,False,0,nagpur
t leaf studio,beverages,3.8,300,nandanvan,nandanvan,"shop no.1, plot no.222, near balaji kirana, opp icici bank, nandavan main road, zone no.3-neharunagar, nagpur urban, nagpur-1, maharashtra",False,0,nagpur
pizza adda,pizzas,3.8,249,dharampeth,dharampeth,25 near nelco society gajanan nagpur urban nagpur 1 maharashtra 440022,False,0,nagpur
c-triangle,bakery,3.8,199,"ashok nagar, panchpaoli","ashok nagar, panchpaoli","9b, near ashok bakery, ashok nagar, balabhaupeth, nagpur, maharashtra 440017, india",True,0,nagpur
ramji shamji pohewale,"fast food,street food,snacks",4.2,100,wardha road,wardha road,nh44 sindhi khamla new sneh nagar nagpur,True,0,nagpur
chinese only,"chinese,snacks,pizzas",2.9,150,ayodhya nagar,mahalaxmi nagar,2nd floar of scorpion gym mahalaxmi nagar no.2.  3rd lane  backside of bakde sabhagrih manewada road nagpur 440027,False,0,nagpur
maharashtrian zaika,"indian,north indian,snacks",3.8,100,sadar ,kamptee,"1563/9,vaishali nagar,behind nit swimming pool,nagpur",True,0,nagpur
piyush maratha saoji,"indian,chinese",3.0,200,wardha road,vivekanand nagar,"chatrapati sqaure, wardha road, opposite sai mandir, vivekanand nagar, nagpur",False,0,nagpur
royal dakshin,south indian,3.8,200,bajaj nagar,bajaj nagar,"553/e/3, laxminagar, nagpur, maharashtra 440020, india",False,0,nagpur
chicago bites,"american,fast food",3.8,150,pratap nagar,pratap nagar,plot no 1 r p t s road near jerryl lawn laxmi nagar zone no 1 laxminagar nagpur urban nagpur 1 maharashtra,False,0,nagpur
dakshin anandam,"south indian,snacks,indian",3.8,150,bajaj nagar,bajaj nagar,"553/6/29 near water tank laxmi  nagar nagpur, zone no.2 -dharampeth,  nagpur (urban), nagpur, maharashtra -  440022",False,0,nagpur
"hotel taj - teka, asi nagar","biryani,mughlai,north indian",3.9,300,indora chowk,gandhibagh,"hotel taj, aashi nagar chowk, nagpur",False,0,nagpur
dawat biryani,"biryani,north indian",3.5,200,suyog nagar,dharampeth,"45, shyam bear bar, dwarkapuri, rameshwari, nagpur",False,0,nagpur
curry house,"biryani,north indian,chinese,combo",4.1,350,laxminagar,pratap nagar,"shop no ug-13, ganesh vighnaharta apartment, rpts road, pratap nagar, nagpur",False,0,nagpur
cake day,"bakery,desserts",4.3,300,ayodhya nagar,ayodhya nagar,"plot number 12, parwati nagar, rameshwari road,ayodhya nagar,nagpur",True,0,nagpur
the nagpur vintage,"north indian,chinese",3.8,400,nandanvan,nandanvan,"55, gurudev nagar, zone no. 5, hanuman nagar, nagpur urban, nagpur- 1, maharashtra- 440024",False,0,nagpur
gloria amul shopee,"ice cream,beverages",3.8,300,nandanvan,nandanvan,"m1/64 m.i.g, nandanvan colony, near hasanbagh police chowki, nandanvan, zone no.3 -neharunagar, nagpur urban, nagpur-1, maharashtra -",False,0,nagpur
foodie heist cafe,"pizzas,snacks,continental",3.8,250,nandanvan,nandanvan,"g1, maruti arcade, nandanvanam main rd, mire layout, azamshah layout, nagpur, maharashtra 440009, india",True,0,nagpur
dosashiyas & yerne amrutulya,"south indian,north indian,street food,beverages",3.8,300,ayodhya nagar,ayodhya nagar,"shop no.5, h no. 4513, plot no. 117, near bsp office, kashi nagar, rameshwari road, nagpur-440027",False,0,nagpur
cafe lockdown,continental,3.8,300,sadar,sadar,"teka naka, behind shitla mata mandir, apartment rai galaxy-2, shop no. 3, nagpur-440014",False,0,nagpur
rajeshahi biryani,biryani,3.8,200,ayodhya nagar,ayodhya nagar,"house no 46865/12, dattatrya  nagar, ward no 20, behind  chhota tajbagh, ayodhya  nagar, nagpur, nagpur (urban),  nagpur, , maharashtra, 440024",False,0,nagpur
megha juice and foods,"fast food,beverages",4.2,400,pratap nagar,tata topy nagar,"tatya topy nagar, whc road, nagpur",True,0,nagpur
sweet home kitchen,"snacks,sweets,fast food",3.8,300,ayodhya nagar,ayodhya nagar,"plot no, 22, manewada rd, new dnyaneshwar nagar, rameshwari, nagpur, maharashtra 440027, india",False,0,nagpur
shri surya ice cream and pizza corner,indian,3.8,200,ayodhya nagar,ayodhya nagar,shop no s 3 house no 93/v maharaja complex bhosale nagar nagpur- 440024,True,0,nagpur
manu's missal co.,"fast food,maharashtrian,street food,beverages",4.3,200,khamla,pratap nagar,"manu's missal co., near pratap nagar sq, near pratap nagar square, ganesh colony, nagpur, maharashtra, india",True,0,nagpur
fluff artisan cafe,"ice cream,beverages,cafe,continental,desserts,american",3.5,250,bajaj nagar,dharampeth,"fluff artisan cafe, shop no 17, j p chambers, wing 1 , south ambazari road, mate square, madhav nagar, nagpur, maharashtra, india",False,0,nagpur
tea bar,beverages,3.8,200,bajaj nagar,bajaj nagar,"plot no. 52, laxmi nagar square, whc  road, nagpur, zone no.1 -laxminagar,  nagpur urban, nagpur-1, maharashtra -  440022",False,0,nagpur
monkey's ranch,"snacks,beverages",3.8,300,dharampeth,dharampeth,"ufg 04, shree ganeshvignahar, mate chowkta apartment, mate square, laxminagar, nagpur, maharashtra 440010, india",False,0,nagpur
burhanpur jalebi center,sweets,4.6,100,pratap nagar,pratap nagar,"plot no. 37, shop no.2, sonali apartment, kotwal nagar, ring road, nagpur - 440022",True,0,nagpur
chaha dot com,"chinese,fast food,snacks",3.8,150,nandanvan,nandanvan,"shop no 1, ponam co. operative society near sbi bank new nadanvan nagpur -09 , nagpur urban , nagpur -1 (maharashtra), -440009",False,0,nagpur
np's cafe,"continental,italian,chinese",3.8,200,nandanvan,nandanvan,"poonam apartment, near janki gyan ganga convent, nandanvan zone no 3 neharunagar   nagpur 440009",False,0,nagpur
h.t.c,"snacks,fast food,beverages",3.8,250,bajaj nagar,bajaj nagar,"15a jp chamber, mate square, madhav nagar, nagpur, maharashtra 440033, india",False,0,nagpur
the sizzling kitchen,indian,3.8,200,pachpaoli,sadar,1563/9 vaishali nagar behind nit swimming pool  nagpur,False,0,nagpur
kirtan food plaza,"south indian,pizzas,chinese",3.8,300,rameshwari,ayodhya nagar,"plot no 7, new dnyaneshwar nagar, manewada road, nagpur, district - nagpur-1, state - maharashtra",False,0,nagpur
chef's galley,"fast food,pizzas,snacks",3.8,300,nandanvan,nandanvan,"plot no.49, mire layout, nandanvan  road, nagpur, zone no.3 -neharunagar,  nagpur (urban), nagpur, maharashtra -  440009",False,0,nagpur
dosa destination,"south indian,beverages",4.2,150,wardha road,wardha road,"1174/84, ring rd, pragati colony, gajanan nagar, nagpur, maharashtra 440015, india",True,0,nagpur
bake my cake,bakery,3.8,250,rameshwari,wardha road,"shop no 4 , nalanda nagar , bhagwan nagar road , near bank of maharashtra , nagpur 440027",True,0,nagpur
dikshani pure veg restaurant,"north indian,maharashtrian,indian",2.1,300,ayodhya nagar,"ayodhya nagar,jambudeep nagar near khadse high school",plot no 151 jambudeep nagar near khadse high school,False,0,nagpur
mb snacks,street food,3.8,150,pratap nagar,pratap nagar,"9, pratap nagar main rd, p & t colony, kotwal nagar, pratap nagar, nagpur, maharashtra 440020, india",True,0,nagpur
cake n joy (pure veg),"bakery,desserts,ice cream",3.8,400,rameshwari,ayodhya nagar,"plot no.76, manewada road, near venu corner, nagpur",True,0,nagpur
sandwich and burger,snacks,3.8,250,narendra nagar,manish nagar,"plot no - 14/a1, laxmi niwas, borkute layout, narendra nagar, zone no.5- hanumannagar, nagpur urban, nagpur-1, maharashtra-440015",False,0,nagpur
roll corner,"fast food,chinese,street food,combo",2.8,350,nagpur,ayodhya nagar,2nd floar of scorpion gym mahalaxmi nagar no.2.  3rd lane  backside of bakde sabhagrih manewada road nagpur 440027,False,0,nagpur
